199.159.20.249	199.159.20.249.4k.usda.gov.
200.137.192.58	h20013719258.ufg.br.
209.222.203.197	unknown
209.222.203.202	unknown
209.222.203.207	unknown
24.108.150.147	S01067c0ecef5fc64.no.shawcable.net.
24.180.58.4	24-180-58-4.dhcp.rvsd.ca.charter.com.
24.2.84.229	c-24-2-84-229.hsd1.ut.comcast.net.
35.63.67.22	precisionm6800b.mtri.org.
45.56.17.236	unknown
67.253.35.153	cpe-67-253-35-153.maine.res.rr.com.
69.11.149.191	h69-11-149-191.kndrid.broadband.dynamic.tds.net.
70.208.134.4	4.sub-70-208-134.myvzw.com.
71.62.29.108	c-71-62-29-108.hsd1.va.comcast.net.
72.160.97.14	72-160-97-14.dyn.centurytel.net.
74.122.220.6	unknown
74.202.35.112	74-202-35-112.static.twtelecom.net.
74.75.192.179	cpe-74-75-192-179.maine.res.rr.com.
75.166.139.123	75-166-139-123.hlrn.qwest.net.
76.114.18.59	c-76-114-18-59.hsd1.ca.comcast.net.
76.179.170.48	cpe-76-179-170-48.maine.res.rr.com.
76.179.173.12	cpe-76-179-173-12.maine.res.rr.com.
79.159.14.33	33.red-79-159-14.dynamicip.rima-tde.net.
90.175.56.134	unknown
95.17.164.192	192.164.17.95.dynamic.jazztel.es.
97.41.137.52	52.sub-97-41-137.myvzw.com.
10.1.6.55	unknown
10.99.1.61	47mmgt1.eecs.wsu.edu.
105.112.34.126	unknown
106.213.7.71	unknown
107.77.97.96	unknown
128.123.178.138	teach-kn238tmp.nmsu.edu.
128.187.116.25	unknown
129.101.215.253	unknown
129.101.230.80	CNR-Room200.for.uidaho.edu.
129.101.232.35	crystal-pavillion.for.uidaho.edu.
129.101.48.200	unknown
129.101.53.253	unknown
129.101.54.139	unknown
129.120.202.32	cas-env336-02.geog.unt.edu.
129.55.200.20	LLPROXY.LL.MIT.EDU.
129.82.30.236	lcl-24.acns.colostate.edu.
132.156.2.2	wsgw1-p.nrn.nrcan.gc.ca.
134.129.24.151	dyn151.wireless-24.ndsu.NoDak.edu.
134.197.80.133	unknown
137.150.101.158	unknown
137.150.107.61	unknown
137.44.166.154	unknown
137.79.218.250	wildcard.jpl.nasa.gov.
138.23.70.117	libpub-70-117.lib.ucr.edu.
138.4.208.171	unknown
140.160.234.202	unknown
141.219.207.25	rover-207-25.rovernet.mtu.edu.
142.105.37.176	cpe-142-105-37-176.nj.res.rr.com.
142.229.115.118	unknown
150.120.164.36	unknown
150.145.36.73	canu.ss.ibimet.cnr.it.
151.56.157.31	unknown
151.63.34.197	unknown
155.210.197.42	unknown
155.210.220.140	unknown
155.210.222.35	unknown
155.210.222.90	unknown
159.16.239.22	unknown
165.151.113.105	unknown
165.234.10.147	dyn-147.drec.ndsu.NoDak.edu.
166.2.129.136	z-166-2-129-136.ip.fs.fed.us.
166.2.169.118	z-166-2-169-118.ip.fs.fed.us.
166.2.22.120	z-166-2-22-120.ip.fs.fed.us.
166.2.22.126	z-166-2-22-126.ip.fs.fed.us.
166.2.22.175	z-166-2-22-175.ip.fs.fed.us.
166.2.22.176	z-166-2-22-176.ip.fs.fed.us.
166.2.22.188	z-166-2-22-188.ip.fs.fed.us.
166.2.22.198	z-166-2-22-198.ip.fs.fed.us.
166.2.22.204	z-166-2-22-204.ip.fs.fed.us.
166.2.22.222	z-166-2-22-222.ip.fs.fed.us.
166.2.22.248	z-166-2-22-248.ip.fs.fed.us.
166.2.41.202	z-166-2-41-202.ip.fs.fed.us.
166.2.74.142	z-166-2-74-142.ip.fs.fed.us.
166.2.77.165	z-166-2-77-165.ip.fs.fed.us.
166.3.18.166	z-166-3-18-166.ip.fs.fed.us.
166.3.196.127	z-166-3-196-127.ip.fs.fed.us.
166.3.197.192	z-166-3-197-192.ip.fs.fed.us.
166.3.38.105	z-166-3-38-105.ip.fs.fed.us.
166.3.47.116	z-166-3-47-116.ip.fs.fed.us.
166.3.71.148	z-166-3-71-148.ip.fs.fed.us.
166.3.77.213	z-166-3-77-213.ip.fs.fed.us.
166.4.85.163	z-166-4-85-163.ip.fs.fed.us.
166.5.38.108	z-166-5-38-108.ip.fs.fed.us.
166.5.63.54	z-166-5-63-54.ip.fs.fed.us.
166.6.157.138	z-166-6-157-138.ip.fs.fed.us.
166.6.212.203	z-166-6-212-203.ip.fs.fed.us.
166.6.70.208	z-166-6-70-208.ip.fs.fed.us.
166.6.94.54	z-166-6-94-54.ip.fs.fed.us.
166.7.122.41	z-166-7-122-41.ip.fs.fed.us.
166.7.157.229	z-166-7-157-229.ip.fs.fed.us.
166.7.192.73	z-166-7-192-73.ip.fs.fed.us.
166.7.82.190	z-166-7-82-190.ip.fs.fed.us.
169.235.217.144	unknown
169.235.218.133	unknown
170.144.104.188	z-170-144-104-188.ip.fs.fed.us.
170.144.109.251	z-170-144-109-251.ip.fs.fed.us.
170.144.110.189	z-170-144-110-189.ip.fs.fed.us.
170.144.126.51	z-170-144-126-51.ip.fs.fed.us.
170.144.127.10	z-170-144-127-10.ip.fs.fed.us.
170.144.66.4	z-170-144-66-4.ip.fs.fed.us.
170.144.90.181	z-170-144-90-181.ip.fs.fed.us.
170.144.93.133	z-170-144-93-133.ip.fs.fed.us.
170.144.93.35	z-170-144-93-35.ip.fs.fed.us.
172.17.6.6	unknown
172.88.74.26	cpe-172-88-74-26.socal.res.rr.com.
174.21.153.39	174-21-153-39.tukw.qwest.net.
174.97.3.231	cpe-174-97-3-231.cinci.res.rr.com.
190.225.34.201	host201.190-225-34.telecom.net.ar.
192.168.17.123	unknown
192.67.133.201	unknown
192.92.176.112	unknown
199.131.180.245	z-199-131-180-245.ip.fs.fed.us.
199.133.214.123	unknown
199.133.214.239	unknown
199.155.28.94	199.155.28.94.4k.usda.gov.
199.156.55.95	199.156.55.95.4k.usda.gov.
200.125.40.226	r200-125-40-226.ae-static.anteldata.net.uy.
206.176.19.47	ed431.bhsu.edu.
207.228.97.90	h-207-228-97-90.gen.cadvision.com.
207.34.76.164	unknown
208.71.137.246	208-71-137-246.qwkdsl.com.
209.222.203.195	unknown
209.222.203.196	unknown
209.222.203.203	unknown
209.222.203.208	unknown
209.222.203.217	unknown
209.222.203.223	unknown
209.222.203.230	unknown
209.222.203.234	unknown
216.227.13.198	dsl-216-227-13-198.pivot.net.
223.234.29.94	unknown
45.46.30.114	cpe-45-46-30-114.maine.res.rr.com.
45.56.16.143	unknown
46.19.85.66	unknown
50.107.10.144	unknown
50.139.63.252	c-50-139-63-252.hsd1.or.comcast.net.
50.37.138.130	50-37-138-130.mscw.id.frontiernet.net.
50.37.92.252	50-37-92-252.mscw.id.frontiernet.net.
60.166.64.88	unknown
62.28.187.94	unknown
65.110.254.159	h62-m31-pool-04.nat.iastate.edu.
66.219.235.240	66-219-235-240.dynamic.ip.veracitynetworks.com.
67.1.200.200	67-1-200-200.tcso.qwest.net.
67.212.214.149	67-212-214-149.static.pfnllc.net.
67.241.208.164	mta-67-241-208-164.maine.rr.com.
67.241.223.236	mta-67-241-223-236.maine.rr.com.
67.245.182.171	cpe-67-245-182-171.nyc.res.rr.com.
67.253.33.248	cpe-67-253-33-248.maine.res.rr.com.
68.1.188.20	ip68-1-188-20.ri.ri.cox.net.
68.118.140.175	68-118-140-175.dhcp.rvsd.ca.charter.com.
68.119.213.188	68-119-213-188.dhcp.hckr.nc.charter.com.
69.166.35.203	unknown
69.49.142.146	69-49-142-146.uninets.net.
69.49.143.139	69-49-143-139.uninets.net.
70.199.147.39	39.sub-70-199-147.myvzw.com.
71.13.218.160	71-13-218-160.dhcp.mrqt.mi.charter.com.
71.218.85.158	71-218-85-158.hlrn.qwest.net.
71.4.31.114	71.4.31.114.ptr.us.xo.net.
73.221.134.172	c-73-221-134-172.hsd1.wa.comcast.net.
73.95.137.54	unknown
73.95.148.43	c-73-95-148-43.hsd1.co.comcast.net.
74.65.177.118	cpe-74-65-177-118.maine.res.rr.com.
75.162.113.177	75-162-113-177.slkc.qwest.net.
75.43.37.112	adsl-75-43-37-112.dsl.skt2ca.sbcglobal.net.
76.23.216.210	c-76-23-216-210.hsd1.me.comcast.net.
79.29.122.185	host185-122-static.29-79-b.business.telecomitalia.it.
